-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SAZMAN	dbo	user table	28/02/2026 08:21:20 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
DEFAULT on column MKHARID	DF__SAZMAN__MKHARID__76EBA2E9	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column MOGODIA	DF__SAZMAN__MOGODIA__7D98A078	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column MOGODIP	DF__SAZMAN__MOGODIP__7E8CC4B1	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column MOJU	DF__SAZMAN__MOJU__16644E42	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column PHAZ_TOL	DF__SAZMAN__PHAZ_TOL__08162EEB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PPDAST	DF__SAZMAN__PPDAST__09FE775D	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PPSAR	DF__SAZMAN__PPSAR__0AF29B96	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SAGHF	DF__SAZMAN__SAGHF__6A07746E	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SAGHFH	DF__SAZMAN__SAGHFH__147C05D0	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SANDOGH	DF__SAZMAN__SANDOGH__7226EDCC	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SERVERNAM	DF__sazman__SERVERNA__615D1FD4	(n/a)	(n/a)	(n/a)	(n/a)	('SERVER')
DEFAULT on column SIGN	DF__SAZMAN__SIGN__4D163005	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SMSACT	DF__SAZMAN__SMSACT__1EE485AA	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SMSTYPE	DF__SAZMAN__SMSTYPE__6557CDEA	(n/a)	(n/a)	(n/a)	(n/a)	('TSMS')
DEFAULT on column TENDAR	DF__SAZMAN__TENDAR__1DF06171	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column TFROSH	DF__SAZMAN__TFROSH__7BB05806	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column TKHARID	DF__SAZMAN__TKHARID__77DFC722	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column TKHF	DF__SAZMAN__TKHF__062DE679	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column UNIVERSITY_CO	DF__SAZMAN__UNIVERSI__703EA55A	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column YEA	DF__SAZMAN__YEA__7132C993	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column DEFANB	DF_SAZMAN_DEFANB	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column DEFTKH	DF_SAZMAN_DEFTKH	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column ECONM	DF_SAZMAN_ECON	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column FRUP	DF_SAZMAN_FRUP	(n/a)	(n/a)	(n/a)	(n/a)	((-1))
DEFAULT on column HSHI	DF_SAZMAN_HSHI	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column MOADINA_SCNUM	DF_SAZMAN_MOADINA_SCNUM	(n/a)	(n/a)	(n/a)	(n/a)	((1))
DEFAULT on column PISHDAR	DF_SAZMAN_MOGODIP1	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column PJHAZ_TOL1	DF_SAZMAN_PHAZ_TOL1	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_23BI	DF_SAZMAN_SA_23BI	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_COND	DF_SAZMAN_SA_COND	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_40EZ	DF_SAZMAN_SA_EAZF	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_EZAF	DF_SAZMAN_SA_EZAF	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_HOGH	DF_SAZMAN_SA_HOGH	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_HOLA	DF_SAZMAN_SA_HOLA	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_JAZB	DF_SAZMAN_SA_JAZB	(n/a)	(n/a)	(n/a)	(n/a)	((0))
DEFAULT on column SA_KHAR	DF_SAZMAN_SA_KHAR	(n/a)	(n/a)	(n/a)	(n/a)	((0))
